,Channel_Name,x_coord,y_coord,z_coord,coil_type,kind,logno,scanno,cal,range,unit,unit_mul,coord_frame
0,P01,-0.049895,-0.063538,0.034957999999999996,1,902,1,1,1.0,1e-06,107,0,4
1,P02,-0.055895,-0.054537999999999996,0.032958,1,902,2,2,1.0,1e-06,107,0,4
2,P03,-0.059895000000000004,-0.047538,0.029958,1,902,3,3,1.0,1e-06,107,0,4
3,P04,-0.06389500000000001,-0.038537999999999996,0.025958,1,902,4,4,1.0,1e-06,107,0,4
4,P05,-0.067895,-0.029538000000000002,0.021958,1,902,5,5,1.0,1e-06,107,0,4
5,P06,-0.068895,-0.018538,0.017958,1,902,6,6,1.0,1e-06,107,0,4
6,P07,-0.068895,-0.008538,0.012958,1,902,7,7,1.0,1e-06,107,0,4
7,P08,-0.068895,0.000462,0.007958,1,902,8,8,1.0,1e-06,107,0,4
8,P09,-0.049895,-0.059537999999999994,0.044958,1,902,9,9,1.0,1e-06,107,0,4
9,P10,-0.055895,-0.051537999999999994,0.042957999999999996,1,902,10,10,1.0,1e-06,107,0,4
10,P11,-0.059895000000000004,-0.04353799999999999,0.038958,1,902,11,11,1.0,1e-06,107,0,4
11,P12,-0.062895,-0.035538,0.034957999999999996,1,902,12,12,1.0,1e-06,107,0,4
12,P13,-0.066895,-0.024538,0.030958,1,902,13,13,1.0,1e-06,107,0,4
13,P14,-0.068895,-0.014538,0.026958,1,902,14,14,1.0,1e-06,107,0,4
14,P15,-0.068895,-0.004538,0.020957999999999997,1,902,15,15,1.0,1e-06,107,0,4
15,P16,-0.066895,0.004462,0.017958,1,902,16,16,1.0,1e-06,107,0,4
16,P17,-0.047895,-0.055538,0.054958,1,902,17,17,1.0,1e-06,107,0,4
17,P18,-0.053895000000000005,-0.047538,0.051958,1,902,18,18,1.0,1e-06,107,0,4
18,P19,-0.057895,-0.039538,0.048958,1,902,19,19,1.0,1e-06,107,0,4
19,P20,-0.062895,-0.030538,0.044958,1,902,20,20,1.0,1e-06,107,0,4
20,P21,-0.064895,-0.021538,0.040958,1,902,21,21,1.0,1e-06,107,0,4
21,P22,-0.066895,-0.010538,0.035958,1,902,22,22,1.0,1e-06,107,0,4
22,P23,-0.064895,-0.0005380000000000001,0.029958,1,902,23,23,1.0,1e-06,107,0,4
23,P24,-0.06389500000000001,0.009462,0.025958,1,902,24,24,1.0,1e-06,107,0,4
24,P25,-0.042895,-0.050538,0.062958,1,902,25,25,1.0,1e-06,107,0,4
25,P26,-0.050895,-0.04353799999999999,0.060958,1,902,26,26,1.0,1e-06,107,0,4
26,P27,-0.055895,-0.034538,0.058957999999999997,1,902,27,27,1.0,1e-06,107,0,4
27,P28,-0.058895,-0.025538,0.055958,1,902,28,28,1.0,1e-06,107,0,4
28,P29,-0.06389500000000001,-0.016538,0.050957999999999996,1,902,29,29,1.0,1e-06,107,0,4
29,P30,-0.066895,-0.006538,0.044958,1,902,30,30,1.0,1e-06,107,0,4
30,P31,-0.065895,0.004462,0.039958,1,902,31,31,1.0,1e-06,107,0,4
31,P32,-0.06389500000000001,0.013462,0.033957999999999995,1,902,32,32,1.0,1e-06,107,0,4
32,P33,-0.036895000000000004,-0.045537999999999995,0.06895799999999999,1,902,33,33,1.0,1e-06,107,0,4
33,P34,-0.043895,-0.037537999999999995,0.066958,1,902,34,34,1.0,1e-06,107,0,4
34,P35,-0.049895,-0.029538000000000002,0.066958,1,902,35,35,1.0,1e-06,107,0,4
35,P36,-0.054895000000000006,-0.022538,0.063958,1,902,36,36,1.0,1e-06,107,0,4
36,P37,-0.059895000000000004,-0.013538,0.059958,1,902,37,37,1.0,1e-06,107,0,4
37,P38,-0.062895,-0.001538,0.053958,1,902,38,38,1.0,1e-06,107,0,4
38,P39,-0.06389500000000001,0.009462,0.048958,1,902,39,39,1.0,1e-06,107,0,4
39,P40,-0.061895000000000006,0.018462,0.042957999999999996,1,902,40,40,1.0,1e-06,107,0,4
40,P41,-0.032895,-0.040538,0.076958,1,902,41,41,1.0,1e-06,107,0,4
41,P42,-0.038895000000000006,-0.031538000000000004,0.074958,1,902,42,42,1.0,1e-06,107,0,4
42,P43,-0.045895000000000005,-0.024538,0.073958,1,902,43,43,1.0,1e-06,107,0,4
43,P44,-0.050895,-0.016538,0.071958,1,902,44,44,1.0,1e-06,107,0,4
